Column1,Column2,Column3,Column4,Column5,Column6,Column7
Name,Background color,Text color,Logo URL,Class 1,Class 2,Class 3
PSR Red,Transparent,Transparent,,GT3 Pro,None,None
DLR Simlab \\ Orange,Transparent,Transparent,,GTP,None,None
Top Tier Motorsport,Transparent,Transparent,,GT3 Pro,None,None
VULKAN Motorsports x Sim-Lab Gold,Transparent,Transparent,,GT3 Pro,None,None
VULKAN Motorsports x Sim-Lab Orange,Transparent,Transparent,,GTP,None,None
Orca Performance Racing #Black,Transparent,Transparent,,GT3 Pro,None,None
Unlucky Luc Racing,Transparent,Transparent,,GTP,None,None
JJC Racing,Transparent,Transparent,,GTP,None,None
Orca Performance Racing #Blue,Transparent,Transparent,,GT3 Am,None,None
GFORCE Racing,Transparent,Transparent,,GT3 Am,None,None
Virtualdrivers by Thrustmaster #1,Transparent,Transparent,,GT3 Pro,None,None
IS Corse,Transparent,Transparent,,GT3 Pro,None,None
DLR Simlab \\ Red,Transparent,Transparent,,GTP,None,None
NGC by Rubis Gás (Carburação),Transparent,Transparent,,GT3 Pro,None,None
NGC by Rubis Gás (Butano),Transparent,Transparent,,GTP,None,None
HWT Motorsport,Transparent,Transparent,,GTP,None,None
SPH eMotorsport,Transparent,Transparent,,GT3 Am,None,None
GO! eSports,Transparent,Transparent,,GTP,None,None
GO! eSports,Transparent,Transparent,,GT3 Pro,None,None
Squadra Veloce Alpha by EAGLE RS,Transparent,Transparent,,GT3 Am,None,None
DDK Racing Team #G,Transparent,Transparent,,GT3 Pro,None,None
IS Corse Red,Transparent,Transparent,,GT3 Am,None,None
Old Firm Racing By HelvetSim,Transparent,Transparent,,GTP,None,None
Negative Delta by SimGear.gg,Transparent,Transparent,,GT3 Pro,None,None
Negative Delta by Madness,Transparent,Transparent,,GT3 Am,None,None
Enosis eSport Simultimate GTP,Transparent,Transparent,,GTP,None,None
Enosis eSport Simultimate,Transparent,Transparent,,GT3 Pro,None,None
Enosis eSport EMIX,Transparent,Transparent,,GT3 Pro,None,None
Valkyrie Exype Green,Transparent,Transparent,,GT3 Pro,None,None
Smurf Racing Team #291,Transparent,Transparent,,GT3 Am,None,None
DDK Racing Team #S,Transparent,Transparent,,GT3 Am,None,None
Locals Autosport,Transparent,Transparent,,GT3 Am,None,None
Connection Lost Racing,Transparent,Transparent,,GTP,None,None
Octopus Racing Team,Transparent,Transparent,,GT3 Pro,None,None
Octopus Racing Team Black,Transparent,Transparent,,GT3 Am,None,None
Sonic Racing Team,Transparent,Transparent,,GT3 Pro,None,None
RPM Racing PEC,Transparent,Transparent,,GT3 Pro,None,None
DLR Simlab \\ Green,Transparent,Transparent,,GT3 Am,None,None
DLR Simlab \\ White,Transparent,Transparent,,GTP,None,None
Foccus Racing PEC,Transparent,Transparent,,GTP,None,None
XBD Racing GTP,Transparent,Transparent,,GTP,None,None
M4sked Devils eSports,Transparent,Transparent,,GT3 Pro,None,None
SRP Racing Team #33,Transparent,Transparent,,GT3 Pro,None,None
Pacemakers,Transparent,Transparent,,GT3 Am,None,None
MRRS Racing Sapphire,Transparent,Transparent,,GTP,None,None
Taylor Mills Racing #41,Transparent,Transparent,,GTP,None,None
Project Valorous,Transparent,Transparent,,GTP,None,None
Reiter Engineering Esports,Transparent,Transparent,,GTP,None,None
Reiter Engineering Esports II,Transparent,Transparent,,GTP,None,None
DRIVEN | Performance eSports - ACADEMY,Transparent,Transparent,,GTP,None,None
EAGLE Speed Academy E-sports PEC,Transparent,Transparent,,GT3 Pro,None,None
EAGLE Speed Academy E-Sports #G,Transparent,Transparent,,GT3 Am,None,None
EAGLE Speed Academy E-Sports #S,Transparent,Transparent,,GT3 Pro,None,None
Fury Simsport,Transparent,Transparent,,GTP,None,None
CARBONO eSPORTS GT3 Am,Transparent,Transparent,,GT3 Am,None,None
MRRS Racing Ametyst,Transparent,Transparent,,GT3 Am,None,None
Driven Performance eSports,Transparent,Transparent,,,None,None
Project Valorous GT3,Transparent,Transparent,,GT3 Pro,None,None
FastRepair Motorsport GT3,Transparent,Transparent,,GT3 Pro,None,None
,,,,,,
