"cust_id","display_name","latest_iRating","car_class_name","car_number","team_id","team_display_name","gtp","lmp2","gt3pro","gt3am"
"245246","Alberto Garc?a Blasco","6487","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"540224","Luis Martinez8","4578","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"410026","Pablo ?lvarez","5034","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"490005","Randy Martin y Mateos","4569","GTP","96","-345761","Old Firm Racing #Orange","True","True","True","No"
"803226","Julien Harmand","4643","GTP","96","-345761","Old Firm Racing #Orange","True","True","True","No"
"841393","Tiago B Rodriguez","5828","GTP","7","-358101","Foccus Racing GTP","True","True","True","No"
"79169","Hugo Preto","4441","GTP","7","-358101","Foccus Racing GTP","True","True","True","No"
"844532","F?bio M Salvaterra","4290","GTP","7","-358101","Foccus Racing GTP","True","True","True","No"
"730048","Max Daleiden","3728","GTP","30","-379749","Fury Simsport GTP","True","True","True","No"
"433451","William Foyle","3727","GTP","30","-379749","Fury Simsport GTP","True","True","True","No"
"592411","Marc Rozendaal","2841","GTP","50","-333550","Project Valorous $50","True","True","True","Gold"
"309084","Krzysztof Jachura","4261","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"705991","Juan Rold?n","4802","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"348052","Aritz Paz","4369","GTP","74","-288978","Enosis eSports PEC GTP","True","True","True","No"
"257614","Roman Farre Ortiz","4153","GTP","74","-288978","Enosis eSports PEC GTP","True","True","True","No"
"634750","Mathijs Wijten","6117","GTP","5","-233878","DLR x Sim-Lab \\ Orange","True","True","True","No"
"20477","Albert Priem","4336","GTP","5","-233878","DLR x Sim-Lab \\ Orange","True","True","True","No"
"634530","Wessel Knol","3066","GTP","5","-233878","DLR x Sim-Lab \\ Orange","True","True","True","Gold"
"620344","Dominik Fekete","3602","GTP","55","-288087","Magic Arrow #55","True","True","True","No"
"684015","Eran Aviner","3423","GTP","55","-288087","Magic Arrow #55","True","True","True","Gold"
"674952","Tobias Kr?cken","5155","GTP","67","-324817","Simracing.Center LMDh","True","True","True","No"
"674724","Jan Steffens","3508","GTP","67","-324817","Simracing.Center LMDh","True","True","True","No"
"673623","Jan Simnacher","3015","GTP","67","-324817","Simracing.Center LMDh","True","True","True","Gold"
"595565","Ben D Mills","5397","GTP","51","-333551","Project Valorous $51","True","True","True","No"
"472821","Ryan Hardinge","2788","GTP","51","-333551","Project Valorous $51","True","True","True","Gold"
"200773","Ander Gomez","3447","GTP","51","-333551","Project Valorous $51","True","True","True","Gold"
"283568","Pieter Elsen","2787","GTP","24","-152047","Backmarker Racing Razzle Dazzle","True","True","True","Gold"
"444905","Justin Klerk","3427","GTP","24","-152047","Backmarker Racing Razzle Dazzle","True","True","True","Gold"
"294793","Kees IJzerman","2896","GTP","24","-152047","Backmarker Racing Razzle Dazzle","True","True","True","Gold"
"775547","Andr? Rosa","5045","GTP","91","-224426","NGC eSports Team by Rubis G?s","True","True","True","No"
"854414","Marcos Silva8","3444","GTP","91","-224426","NGC eSports Team by Rubis G?s","True","True","True","Gold"
"604937","Nelson Clemente","3551","GTP","91","-224426","NGC eSports Team by Rubis G?s","True","True","True","No"
"362217","Alexander Gerber","3926","GTP","41","-210064","Taylor Mills Racing #41","True","True","True","No"
"639492","Rachel Konkoly","3394","GTP","41","-210064","Taylor Mills Racing #41","True","True","True","Gold"
"396799","Neil Debacquer","5410","GTP","41","-210064","Taylor Mills Racing #41","True","True","True","No"
"367828","Pablo Riestra","3404","GTP","66","-345517","Carbono eSports GTP","True","True","True","Gold"
"335781","Mike R","3243","GTP","66","-345517","Carbono eSports GTP","True","True","True","Gold"
"292820","Juanjo Gragera","2795","GTP","66","-345517","Carbono eSports GTP","True","True","True","Gold"
"299849","Vicente Lara","2759","GTP","66","-345517","Carbono eSports GTP","True","True","True","Gold"
"564150","Iv?n Ubera","5720","IMSA23","241","-340745","Pandemonium eSports x Sim-Lab Gold","True","True","True","No"
"376751","Federico Calello","4550","IMSA23","241","-340745","Pandemonium eSports x Sim-Lab Gold","True","True","True","No"
"857753","Afonso Souto","5017","IMSA23","241","-340745","Pandemonium eSports x Sim-Lab Gold","True","True","True","No"
"599263","Kevin Lazar","3459","IMSA23","264","-325463","Team Racegitter.de #Black","True","True","True","Gold"
"775090","Marcel Beck","3754","IMSA23","264","-325463","Team Racegitter.de #Black","True","True","True","No"
"486559","Jannis Rohde","2293","IMSA23","264","-325463","Team Racegitter.de #Black","False","True","True","Silver"
"242062","Octavio Araujo Pisco","5028","IMSA23","224","-129653","Octopus Racing Team","True","True","True","No"
