"cust_id","display_name","team_name","irating","car_clas_name","allowed_car_class","gt3_classification","car_number"
"490005","Randy Martin y Mateos","Old Firm Racing #Orange","4557","GTP","gtp","no","96"
"803226","Julien Harmand","Old Firm Racing #Orange","4512","GTP","gtp","no","96"
"103117","Ricardo Ferreira","Foccus Racing GTP","7373","GTP","gtp","no","7"
"79169","Hugo Preto","Foccus Racing GTP","4391","GTP","gtp","no","7"
"844532","F?bio M Salvaterra","Foccus Racing GTP","3332","GTP","gtp","Gold","7"
"823793","Luciano Gomes","Foccus Racing GTP","2960","GTP","gtp","Gold","7"
"634750","Mathijs Wijten","DLR x Sim-Lab \\ Orange","6280","GTP","gtp","no","5"
"20477","Albert Priem","DLR x Sim-Lab \\ Orange","4295","GTP","gtp","no","5"
"427405","Kevin Jailler","Old Firm Racing # Yellow","3481","GTP","gtp","Gold","69"
"697478","Julien Jouy","Old Firm Racing # Yellow","3888","GTP","gtp","no","69"
"361527","Romain Utiel","The Rolling Goat","3935","GTP","gtp","no","13"
"335241","Kevin Chartier","The Rolling Goat","3552","GTP","gtp","Gold","13"
"376502","Guilian Mourre","The Rolling Goat","4054","GTP","gtp","no","13"
"620347","Norbert Tamas","Magic Arrow #55","6425","GTP","gtp","no","55"
"477938","Balazs Turoczy","Magic Arrow #55","5129","GTP","gtp","no","55"
"620344","Dominik Fekete","Magic Arrow #55","3546","GTP","gtp","Gold","55"
"245246","Alberto Garc?a Blasco","XBD Racing GTP","6417","GTP","gtp","no","33"
"323778","Jose Manuel Cazon","XBD Racing GTP","4885","GTP","gtp","no","33"
"47036","Daniel L?pez","XBD Racing GTP","5690","GTP","gtp","no","33"
"954931","Zidar Ates","Reiter Engineering Esports II","3179","GTP","gtp","Gold","2"
"786912","Hendrik Ipsen","Reiter Engineering Esports II","4191","GTP","gtp","no","2"
"861531","John Michael Dunnigan","Reiter Engineering Esports II","4136","GTP","gtp","no","2"
"730048","Max Daleiden","Fury Simsport GTP","3697","GTP","gtp","Gold","30"
"433451","William Foyle","Fury Simsport GTP","3526","GTP","gtp","Gold","30"
"719028","D?vid V?gh","Fury Simsport GTP","4019","GTP","gtp","no","30"
"383953","Philipp Kanehl","Fury Simsport GTP","2779","GTP","gtp","Gold","30"
"46080","Cesar Cabral","Race2Esport","3215","GTP","gtp","Gold","70"
"239405","Arthur Figueiredo","Race2Esport","4110","GTP","gtp","no","70"
"44390","Marcos Eberhardt","Race2Esport","3001","GTP","gtp","Gold","70"
"995993","Cha Augusto","Race2Esport","3290","GTP","gtp","Gold","70"
"346119","Isaac Barclay2","Backmarker Racing Razzle Dazzle","3055","GTP","gtp","Gold","24"
"283568","Pieter Elsen","Backmarker Racing Razzle Dazzle","2763","GTP","gtp","Gold","24"
"396799","Neil Debacquer","Taylor Mills Racing #41","5262","GTP","gtp","no","41"
"362217","Alexander Gerber","Taylor Mills Racing #41","3854","GTP","gtp","no","41"
"444876","Andreas Hauser","Project Valorous $50","4691","GTP","gtp","no","50"
"379075","Brian McGough","Project Valorous $50","4002","GTP","gtp","no","50"
"309084","Krzysztof Jachura","Project Valorous $50","4261","GTP","gtp","no","50"
"851184","Luke Smith17","Project Valorous $51","5169","GTP","gtp","no","51"
"545065","Finn Aders","Project Valorous $51","3879","GTP","gtp","no","51"
"609843","Sander-Erik Tiits","Project Valorous $51","3029","GTP","gtp","Gold","51"
"335781","Mike R","Carbono eSports GTP","3243","GTP","gtp","Gold","66"
"367828","Pablo Riestra","Carbono eSports GTP","3529","GTP","gtp","Gold","66"
"166232","Manu Prieto","Carbono eSports GTP","3377","GTP","gtp","Gold","66"
"498058","Alberto Moreno S","XBD RACING GT3 I","6714","IMSA23","gtp","no","206"
"364474","Rubens Llorente","XBD RACING GT3 I","5376","IMSA23","gtp","no","206"
"363812","Vincent Aussems","SimRace Sweden eSports PRO","5434","IMSA23","gtp","no","219"
"532015","Winston Ekkel","SimRace Sweden eSports PRO","3362","IMSA23","gtp","Gold","219"
"590994","Charlie Lund Nilsson","RPM Racing PEC","7411","IMSA23","gtp","no","210"
"889286","Tom Cecchetto","RPM Racing PEC","5766","IMSA23","gtp","no","210"
"222795","Laurens de Rijk","DTIx Motorsport","5963","IMSA23","gtp","no","244"
"418518","Jon Derrick","DTIx Motorsport","8228","IMSA23","gtp","no","244"
"403160","Mateusz D?bczuk","DTIx Motorsport","4826","IMSA23","gtp","no","244"
"717883","Andr? Filipe Vilela","AZR Motorsport White","7007","IMSA23","gtp","no","220"
"623248","Diogo F Teodoro","AZR Motorsport White","4489","IMSA23","gtp","no","220"
"278489","Paulo J Fonseca","AZR Motorsport White","4537","IMSA23","gtp","no","220"
"895171","Christian M?ller6","Pandemonium eSports x Sim-Lab Gold","3570","IMSA23","gtp","Gold","241"
"858536","Mahmood Albash","Pandemonium eSports x Sim-Lab Gold","3886","IMSA23","gtp","no","241"
"799932","Felix Manzanedo","XBD RACING GT3 II","3863","IMSA23","gtp","no","230"
"504417","Mario Grillo","XBD RACING GT3 II","2301","IMSA23","gt3","Silver","230"
"287535","Rafa Venteo","XBD RACING GT3 II","2399","IMSA23","gt3","Silver","230"
"701793","David Marchal","Octopus Racing Team","3430","IMSA23","gtp","Gold","224"
"365305","Davo Ramos","Octopus Racing Team","4072","IMSA23","gtp","no","224"
"389453","Carlos Ruiz3","Octopus Racing Team","3926","IMSA23","gtp","no","224"
"371028","Alex Sevillano Lled?","Hydrorace Racing Forces PEC","4706","IMSA23","gtp","no","262"
"369262","Daryl Norkett","Hydrorace Racing Forces PEC","3149","IMSA23","gtp","Gold","262"
"596421","Przemyslaw Majtyka","Hydrorace Racing Forces PEC","2638","IMSA23","gt3","Silver","262"
"302291","Onno Bastings","Hydrorace Racing Forces PEC","3843","IMSA23","gtp","no","262"
"662921","Kris Van Gucht","EAGLE Speed Academy E-Sports #G","2916","IMSA23","gtp","Gold","277"
"773907","Tim De Hondt","EAGLE Speed Academy E-Sports #G","2986","IMSA23","gtp","Gold","277"
"690462","Alex Pilbeam","HWT Motorsport","2643","IMSA23","gt3","Silver","324"
"696206","Delil Akbulut","HWT Motorsport","1857","IMSA23","gt3","Silver","324"
"617317","Tom Bryant","HWT Motorsport","2077","IMSA23","gt3","Silver","324"
"555223","Gianni Pirone","Reiter Engineering Esports GT3","4701","IMSA23","gtp","no","276"
"601678","Jack James2","Reiter Engineering Esports GT3","3295","IMSA23","gtp","Gold","276"
"957920","Malte Johansson","Reiter Engineering Esports GT3","6383","IMSA23","gtp","no","276"
"720558","Edvin Forslund","SimRace Sweden eSports","3619","IMSA23","gtp","Gold","217"
"686915","Nick Kerstens","SimRace Sweden eSports","3221","IMSA23","gtp","Gold","217"
"59268","Danni Fugl","LITHIUM Motorsports AM","2110","IMSA23","gt3","Silver","315"
"1002358","Anders Daniel Rasmussen2","LITHIUM Motorsports AM","1852","IMSA23","gt3","Silver","315"
"284176","Martin Birmele","LITHIUM Motorsports AM","2280","IMSA23","gt3","Silver","315"
"393778","Stefan Le Guen","Squadra Veloce Bravo by EAGLE RS","2737","IMSA23","gt3","Silver","346"
"821015","Tomas Vandenbossche","Squadra Veloce Bravo by EAGLE RS","2018","IMSA23","gt3","Silver","346"
"818518","Jonathan Valgaeren","Squadra Veloce Bravo by EAGLE RS","1983","IMSA23","gt3","Silver","346"
"636573","Roberto JM Artur","Dogs on Web DS Racing","2347","IMSA23","gt3","Silver","355"
"681922","Nuno Tavares Barbosa","Dogs on Web DS Racing","2038","IMSA23","gt3","Silver","355"
"349178","Marco Vilela","Dogs on Web DS Racing","3037","IMSA23","gtp","Gold","355"
"380152","Zachary Livengood","LITHIUM Motorsports PRO","2622","IMSA23","gt3","Silver","234"
"737017","Andre Campanholo","LITHIUM Motorsports PRO","2241","IMSA23","gt3","Silver","234"
"611888","Milo Speelman","LITHIUM Motorsports PRO","2534","IMSA23","gt3","Silver","234"
"874076","Daniel Zi?tek","Pandemonium eSports x Sim-Lab Red","1948","IMSA23","gt3","Silver","341"
"885933","Falco Van Rijsselt","Pandemonium eSports x Sim-Lab Red","2658","IMSA23","gt3","Silver","341"
"827394","Nicolas Vicent","Virtualdrivers by Thrustmaster #1","3119","IMSA23","gtp","Gold","213"
"194225","Loic Guillardeau","Virtualdrivers by Thrustmaster #1","3474","IMSA23","gtp","Gold","213"
"443864","Renaud Herbillon","Virtualdrivers by Thrustmaster #1","3565","IMSA23","gtp","Gold","213"
"682505","Drew Glover2","Slippers Racing Team","2373","IMSA23","gt3","Silver","399"
"794023","John Connors3","Slippers Racing Team","2005","IMSA23","gt3","Silver","399"
"413787","Rowan Pelan O'Treasaigh","Slippers Racing Team","1939","IMSA23","gt3","Silver","399"
"579208","Thomas Burling","Slippers Racing Team","2336","IMSA23","gt3","Silver","399"
"273285","Ale G Torres","Enosis eSports PEC GT3","5741","IMSA23","gtp","no","274"
"501688","Francisco Barrionuevo","Enosis eSports PEC GT3","4047","IMSA23","gtp","no","274"
"159173","Alex Rourera","Enosis eSports PEC GT3","3220","IMSA23","gtp","Gold","274"
"144094","E Bennett Parsons","THLF eSports","3535","IMSA23","gtp","Gold","298"
"549249","Tom Kunath","THLF eSports","3904","IMSA23","gtp","no","298"
