team_id,team_display_name,cust_id,display_name,classification,percentage,avg_speed,total_time,total_session_time
-129672,Zero7 Racing #201,19423,Fabio Ponta,Gold,38.0,189,10791,28678
-129672,Zero7 Racing #201,443123,Alessio Bernardini,Gold,36.0,191,10360,28678
-129672,Zero7 Racing #201,59708,Luigi Nespolino,Gold,24.0,188,7009,28678
-134960,Chicane Online Racing Blue,310170,Alex Gal,Gold,60.0,189,17258,28678
-134960,Chicane Online Racing Blue,366403,Nils Corr,Gold,39.0,189,11213,28678
-272730,Negative Delta by BULERS,666727,Vladislav T Shopov,Gold,64.0,189,18330,28678
-272730,Negative Delta by BULERS,155092,Georgi Raychev,Gold,35.0,189,9962,28678
-299547,Peaky Drivers #221,415746,Sito Ferrer,Gold,40.0,188,11587,28678
-299547,Peaky Drivers #221,496743,Aleix Garcia,Gold,35.0,189,9962,28678
-299547,Peaky Drivers #221,602043,Fran Garcia3,Gold,23.0,188,6687,28678
-134184,GROW RACING TEAM RED,857753,Afonso Souto,Gold,29.0,188,8401,28678
-134184,GROW RACING TEAM RED,286658,Marcelo Eusébio,Gold,23.0,189,6646,28678
-134184,GROW RACING TEAM RED,841393,Tiago B Rodriguez,Gold,23.0,188,6583,28678
-134184,GROW RACING TEAM RED,281564,Andre Monteiro2,Gold,23.0,187,6634,28678
-78242,IPM Blue,533021,Mason Smith8,Gold,52.0,188,14816,28678
-78242,IPM Blue,588850,Paul Schmudlach,Gold,24.0,189,6777,28678
-78242,IPM Blue,682387,Salvatore DiPompo,Silver,24.0,187,6837,28678
-244728,No Limits SimRacing,617093,Ferran Bailon,Gold,53.0,187,15308,28678
-244728,No Limits SimRacing,613328,Oriol Folch,Gold,45.0,188,12971,28678
-324629,Virtual Insanity Racing,857815,Lemi Mischke,Silver,77.0,186,22011,28678
-324629,Virtual Insanity Racing,686915,Nick Kerstens,Gold,22.0,187,6308,28678
-136625,M4sked Devils eSports,342641,Marcos Alarcón,Gold,48.0,188,13786,28678
-136625,M4sked Devils eSports,383286,Alex Barasoain,Gold,49.0,182,14180,28678
-194019,EUROMASTER ESPORTS,227966,Juanma Frias Gamez,Gold,37.0,188,10624,28678
-194019,EUROMASTER ESPORTS,636125,Hiago Martins,Gold,35.0,187,10128,28678
-194019,EUROMASTER ESPORTS,548682,Fran Parada,Gold,22.0,189,6243,28678
-224089,HOWLBSOD Motorsport,394019,Nick André Stodal,Silver,54.0,186,15383,28678
-224089,HOWLBSOD Motorsport,370862,Kevin Simon2,Silver,42.0,183,12109,28678
-92660,Really Slow Motion Racing,137333,Martin Kovács,Gold,25.0,187,7286,28678
-92660,Really Slow Motion Racing,869318,Istvan Decsi,Gold,26.0,177,7451,28678
-92660,Really Slow Motion Racing,727595,Andras Kucsma,Gold,24.0,187,6858,28678
-92660,Really Slow Motion Racing,840562,Miklós Gál,Gold,22.0,188,6389,28678
-153276,RUCANOR RACING,371410,Didier Brobbel,Gold,57.0,189,16294,28678
-153276,RUCANOR RACING,322064,Luca Thinggaard,Gold,36.0,187,10374,28678
-55648,Kuruma MotorSport,213565,Fran Vinal,Gold,49.0,188,14038,28678
-55648,Kuruma MotorSport,272192,Toño N. Ordieres,Gold,46.0,187,13326,28678
-143359,CORE MOTORSPORTS,344701,Orlando Telheiro,Gold,36.0,188,10205,28678
-143359,CORE MOTORSPORTS,530634,Nuno Vinagre,Gold,34.0,188,9680,28678
-143359,CORE MOTORSPORTS,376121,Marco M Mendes,Gold,25.0,187,7147,28678
-321313,Enosis eSports,436347,Migue Santos,Gold,28.0,189,8028,28678
-321313,Enosis eSports,19254,Cesar Carregal,Gold,22.0,188,6393,28678
-321313,Enosis eSports,387611,Beñat Artano,Gold,22.0,189,6351,28678
-321313,Enosis eSports,257614,Roman Farre Ortiz,Gold,20.0,189,5827,28678
-293255,AZR Motorsport,623248,Diogo F Teodoro,Gold,52.0,173,14875,28678
-293255,AZR Motorsport,794190,Pedro Oliveira Vigário,Gold,23.0,190,6520,28678
-293255,AZR Motorsport,796249,Guilherme Costa Reis,Gold,23.0,188,6583,28678
-257830,SR TECHNIC,561604,Carlos Coxinho,Gold,36.0,183,10262,28678
-257830,SR TECHNIC,613054,Luis Marinho,Gold,34.0,189,9820,28678
-257830,SR TECHNIC,461417,Jorge  Mendes Pinheiro,Gold,23.0,189,6672,28678
-215259,GO! eSports,528824,Kiko Lacalle,Gold,47.0,173,13610,28678
-215259,GO! eSports,725639,David Martín Fdez,Gold,24.0,189,6892,28678
-215259,GO! eSports,681110,Roberto Luengo,Gold,24.0,189,6770,28678
-293256,AZR Motorsport White,777046,Ruben Carrapato,Silver,35.0,186,9988,28678
