team_id,team_display_name,cust_id,display_name,classification,percentage,avg_speed,total_time,total_session_time
-306596,XBD Racing GTP,245246,Alberto García Blasco,No,46.0,235,19617,42703
-306596,XBD Racing GTP,540224,Luis Martinez8,No,27.0,236,11638,42703
-306596,XBD Racing GTP,410026,Pablo Álvarez,No,22.0,236,9366,42703
-345761,Old Firm Racing #Orange,490005,Randy Martin y Mateos,No,51.0,235,21753,42703
-345761,Old Firm Racing #Orange,803226,Julien Harmand,No,43.0,234,18414,42703
-358101,Foccus Racing GTP,841393,Tiago B Rodriguez,No,33.0,235,14226,42703
-358101,Foccus Racing GTP,79169,Hugo Preto,No,33.0,235,14012,42703
-358101,Foccus Racing GTP,844532,Fábio M Salvaterra,No,27.0,234,11326,42703
-379749,Fury Simsport GTP,730048,Max Daleiden,No,50.0,234,21423,42703
-379749,Fury Simsport GTP,433451,William Foyle,No,48.0,232,20707,42703
-333550,Project Valorous $50,592411,Marc Rozendaal,Gold,38.0,235,16299,42703
-333550,Project Valorous $50,309084,Krzysztof Jachura,No,34.0,234,14697,42703
-333550,Project Valorous $50,705991,Juan Roldán,No,23.0,234,9634,42703
-288978,Enosis eSports PEC GTP,348052,Aritz Paz,No,63.0,234,26869,42703
-288978,Enosis eSports PEC GTP,257614,Roman Farre Ortiz,No,34.0,233,14346,42703
-233878,DLR x Sim-Lab \\ Orange,634750,Mathijs Wijten,No,46.0,235,19451,42703
-233878,DLR x Sim-Lab \\ Orange,20477,Albert Priem,No,28.0,234,11966,42703
-233878,DLR x Sim-Lab \\ Orange,634530,Wessel Knol,Gold,23.0,232,9708,42703
-288087,Magic Arrow #55,620344,Dominik Fekete,No,50.0,231,21423,42703
-288087,Magic Arrow #55,684015,Eran Aviner,Gold,46.0,233,19569,42703
-324817,Simracing.Center LMDh,674952,Tobias Krücken,No,31.0,233,13255,42703
-324817,Simracing.Center LMDh,674724,Jan Steffens,No,34.0,233,14548,42703
-324817,Simracing.Center LMDh,673623,Jan Simnacher,Gold,29.0,232,12496,42703
-333551,Project Valorous $51,595565,Ben D Mills,No,35.0,227,14887,42703
-333551,Project Valorous $51,472821,Ryan Hardinge,Gold,32.0,233,13493,42703
-333551,Project Valorous $51,200773,Ander Gomez,Gold,29.0,232,12265,42703
-152047,Backmarker Racing Razzle Dazzle,283568,Pieter Elsen,Gold,36.0,231,15267,42703
-152047,Backmarker Racing Razzle Dazzle,444905,Justin Klerk,Gold,35.0,234,14912,42703
-152047,Backmarker Racing Razzle Dazzle,294793,Kees IJzerman,Gold,20.0,234,8404,42703
-224426,NGC eSports Team by Rubis Gás,775547,André Rosa,No,34.0,229,14382,42703
-224426,NGC eSports Team by Rubis Gás,854414,Marcos Silva8,Gold,32.0,235,13806,42703
-224426,NGC eSports Team by Rubis Gás,604937,Nelson Clemente,No,27.0,234,11323,42703
-210064,Taylor Mills Racing #41,362217,Alexander Gerber,No,41.0,234,17645,42703
-210064,Taylor Mills Racing #41,639492,Rachel Konkoly,Gold,26.0,234,11124,42703
-210064,Taylor Mills Racing #41,396799,Neil Debacquer,No,24.0,235,10461,42703
-345517,Carbono eSports GTP,367828,Pablo Riestra,Gold,29.0,233,12199,42703
-345517,Carbono eSports GTP,335781,Mike R,Gold,23.0,232,9934,42703
-345517,Carbono eSports GTP,292820,Juanjo Gragera,Gold,23.0,230,9798,42703
-345517,Carbono eSports GTP,299849,Vicente Lara,Gold,19.0,231,8068,42703
-201751,Race2Esport,46080,Cesar Cabral,Gold,31.0,230,13207,42703
-201751,Race2Esport,283769,Marc de Fulgencio,Gold,19.0,219,8056,42703
-201751,Race2Esport,44390,Marcos Eberhardt,Gold,17.0,234,7144,42703
-201751,Race2Esport,239405,Arthur Figueiredo,No,15.0,233,6522,42703
-221044,DLR x Sim-Lab \\ White,813496,Emre Kemaldar,No,37.0,234,15740,42703
-221044,DLR x Sim-Lab \\ White,722146,Yannick Gerards,No,29.0,232,12478,42703
-293296,Old Firm Racing # Yellow,697478,Julien Jouy,No,35.0,235,14830,42703
-293296,Old Firm Racing # Yellow,427405,Kevin Jailler,No,34.0,234,14444,42703
-202593,The Rolling Goat,335241,Kevin Chartier,No,23.0,233,9893,42703
-202593,The Rolling Goat,361527,Romain Utiel,No,16.0,235,6893,42703
-202593,The Rolling Goat,376502,Guilian Mourre,No,9.0,233,4007,42703
-384994,Reiter Engineering Esports PEC,528552,Niclas Geßner,No,18.0,234,7535,42703
-384994,Reiter Engineering Esports PEC,289340,Jan Körbs,No,17.0,234,7344,42703
-384994,Reiter Engineering Esports PEC,861531,John Michael Dunnigan,No,4.0,230,1709,42703
