team_id,team_display_name,cust_id,display_name,classification,percentage,avg_speed,total_time,total_session_time
-129672,Zero7 Racing #201,607475,Lorenzo Castellani,Gold,66.0,161,14111,21447
-129672,Zero7 Racing #201,19423,Fabio Ponta,Gold,33.0,161,7002,21447
-272730,Negative Delta by BULERS,666727,Vladislav T Shopov,Gold,78.0,160,16821,21447
-272730,Negative Delta by BULERS,381527,Iordanin Tsvetanov,Silver,16.0,159,3386,21447
-117499,Carbono eSports JD Army,498058,Alberto Moreno S,Gold,49.0,160,10590,21447
-117499,Carbono eSports JD Army,633220,Gerard Sardeny Saez,Gold,45.0,161,9573,21447
-194019,EUROMASTER ESPORTS,227966,Juanma Frias Gamez,Gold,34.0,160,7339,21447
-194019,EUROMASTER ESPORTS,548682,Fran Parada,Gold,34.0,161,7209,21447
-194019,EUROMASTER ESPORTS,636125,Hiago Martins,Gold,30.0,159,6475,21447
-324629,Virtual Insanity Racing,857815,Lemi Mischke,Silver,80.0,159,17065,21447
-324629,Virtual Insanity Racing,686915,Nick Kerstens,Gold,17.0,159,3603,21447
-321313,Enosis eSports,436347,Migue Santos,Gold,63.0,160,13410,21447
-321313,Enosis eSports,19254,Cesar Carregal,Gold,31.0,161,6707,21447
-215259,GO! eSports,243240,Joan Marti,Gold,51.0,160,10947,21447
-215259,GO! eSports,725639,David Martín Fdez,Gold,48.0,159,10261,21447
-257830,SR TECHNIC,461417,Jorge  Mendes Pinheiro,Gold,51.0,159,10985,21447
-257830,SR TECHNIC,613054,Luis Marinho,Gold,46.0,160,9843,21447
-92660,Really Slow Motion Racing,727595,Andras Kucsma,Gold,46.0,160,9905,21447
-92660,Really Slow Motion Racing,840562,Miklós Gál,Gold,33.0,159,7084,21447
-92660,Really Slow Motion Racing,183567,Péter Balassa,Gold,16.0,159,3489,21447
-293255,AZR Motorsport,416883,Kiko Alves,Gold,31.0,159,6586,21447
-293255,AZR Motorsport,601687,Pedro Arnaut,Gold,33.0,158,7137,21447
-293255,AZR Motorsport,796249,Guilherme Costa Reis,Gold,30.0,158,6329,21447
-301539,SIM RACING CONCEPT,730865,David Gutierrez4,Gold,35.0,159,7492,21447
-301539,SIM RACING CONCEPT,763849,Victor Florido Gomez,Gold,32.0,158,6940,21447
-301539,SIM RACING CONCEPT,54077,Rafael Carballedo,Silver,30.0,156,6499,21447
-55648,Kuruma MotorSport,272192,Toño N. Ordieres,Gold,52.0,157,11210,21447
-55648,Kuruma MotorSport,213565,Fran Vinal,Gold,44.0,159,9409,21447
-326644,Future Racing Team,377973,Sebastian O. Pedersen,Silver,65.0,157,13854,21447
-326644,Future Racing Team,834170,Flemming Jensen,Silver,34.0,158,7358,21447
-257829,SR TECHNIC #PEC,25377,Aurelio Carneiro,Silver,34.0,159,7207,21447
-257829,SR TECHNIC #PEC,515776,Rui Filipe Pinheiro,Silver,34.0,159,7205,21447
-257829,SR TECHNIC #PEC,201606,Manuel M Cruz,Silver,31.0,158,6546,21447
-303388,Pick Up The Pace,856446,Diogo Cabeças,Silver,36.0,156,7759,21447
-303388,Pick Up The Pace,817410,Mix Bonito,Silver,27.0,160,5868,21447
-303388,Pick Up The Pace,823793,Luciano Gomes,Gold,17.0,159,3691,21447
-303388,Pick Up The Pace,725974,Gonçalo B Paixão,Silver,16.0,159,3496,21447
-110547,Carbono eSports,299996,Jose L  Pulido,Silver,51.0,157,10927,21447
-110547,Carbono eSports,898832,David Mato,Silver,42.0,156,9051,21447
-293256,AZR Motorsport White,777046,Ruben Carrapato,Silver,51.0,157,11042,21447
-293256,AZR Motorsport White,681922,Nuno Tavares Barbosa,Silver,28.0,132,6001,21447
-293256,AZR Motorsport White,798579,João T. Freire,Silver,16.0,155,3473,21447
-331468,OVRTK Team 4,451736,Devan Horvath,Gold,18.0,159,3800,21447
-331468,OVRTK Team 4,767101,Jonathan Newman2,Gold,12.0,160,2673,21447
-134184,GROW RACING TEAM RED,281564,Andre Monteiro2,Gold,15.0,158,3117,21447
-134960,Chicane Online Racing Blue,310170,Alex Gal,Gold,7.0,159,1399,21447
-299547,MerXo Racing Team #221,415746,Sito Ferrer,Gold,2.0,151,526,21447
-299547,MerXo Racing Team #221,496743,Aleix Garcia,Gold,0.0,0,0,21447
