team_id,team_display_name,race_count,percentage,gold_league_drive_time,gold_league_percentage,total_league_time
-306961,Scopum Racing E-Sports Team Silver,1,0.0,0.0,0.0,0.0
-158916,Over The Limit racing,1,0.0,0.0,0.0,0.0
-305563,Scopum Racing E-Sport Team Silver,1,0.0,0.0,0.0,0.0
-286482,Kairos eSports #229,2,37.0,28584.03,66.0,43114.8254
-218497,Blue Chip Racing,3,73.0,38701.84,54.0,71748.7664
-272629,Platinum Racing Team red,3,37.0,10645.2,37.0,28633.941
-247532,Krips Racing Green,3,70.0,53346.37,74.0,71748.7664
-302748,Platinum Racing Team White,2,98.0,42544.22,85.0,50173.0983
-214868,Sissi State Punks Racing,3,0.0,0.0,0.0,0.0
-298040,Peaky Drivers GT3,3,0.0,16256.67,75.0,21575.6681
-297670,TR Geekz Energy Simracing GT3,3,0.0,0.0,0.0,0.0
-159910,Austrian Simracers Red,3,94.0,80181.59,93.0,85954.22529999999
-129672,RACING TEAM #208,4,98.0,104458.37999999999,97.0,107529.8934
-223528,SimVision,4,99.0,104965.04000000001,98.0,107529.8934
-129653,Octopus Racing Team,4,97.0,87705.62000000001,82.0,107529.8934
-127445,RACING TEAM #221,4,99.0,96996.13,90.0,107529.8934
-299092,YS Sim-Sport PEC,4,28.0,23686.32,37.0,64415.068
-257829,SR TECHNIC #PEC,4,18.0,21957.840000000004,26.0,85990.73610000001
-134184,GROW RACING TEAM RED,4,98.0,99235.34,92.0,107529.8934
-175849,Maniti Racing Yellow,4,84.0,62637.74,58.0,107529.8934
-297933,Prestanda NOMAD #209,1,50.0,18013.51,50.0,35781.127
-280178,Trackside Esports,4,36.0,12983.89,36.0,35781.127
-62993,Fury Simsport Academy,4,97.0,85502.59,80.0,107529.8934
-278379,Platinum Racing Team Orange,4,96.0,104201.51999999999,97.0,107529.8934
-96989,Chicane Online Racing Red,4,97.0,103949.68999999999,97.0,107529.8934
-159911,Austrian Simracers Blue,4,28.0,15561.630000000001,27.0,57356.7951
-299638,Ingersoll Rand Enosis eSports #215,4,72.0,96018.18,89.0,107529.8934
-232258,SIMVISION #228,1,27.0,9728.3,27.0,35781.127
-243021,Elite Racing Team,4,8.0,23768.050000000003,41.0,57356.7951
-252527,Krips Racing Blue,4,0.0,4816.77,22.0,21539.1573
-299312,CM x MSi Gaming GT3,3,9.0,21076.61,27.0,78895.95240000001
-264062,Team Upstate GT3,4,0.0,8198.49,38.0,21539.1573
-257830,SR TECHNIC,4,0.0,35226.13,49.0,71748.7664
-312337,Sissi State Punks Racing,1,0.0,0.0,0.0,0.0
-258771,PROTOSIM #2,4,0.0,20884.6,48.0,43114.8254
-257782,PROTOSIM #3,4,0.0,6848.57,24.0,28633.941
-140651,Chicane Online Racing Orange,4,0.0,0.0,0.0,0.0
-110547,Carbono eSports,4,0.0,43836.89,61.0,71748.7664
