group_id,name,cust_id,display_name,lap_number,flags,incident,session_time,session_start_time,lap_time,team_fastest_lap,personal_best_lap,license_level,car_number,lap_events
553690,Joni Paloneva,553690,Joni Paloneva,0,1,False,953644,,-1,False,False,19,1,['invalid']
553690,Joni Paloneva,553690,Joni Paloneva,1,0,False,1327357,,373713,False,False,19,1,[]
553690,Joni Paloneva,553690,Joni Paloneva,2,1,False,1709363,,-1,False,False,19,1,['invalid']
553690,Joni Paloneva,553690,Joni Paloneva,3,0,False,2081881,,372518,True,True,19,1,[]
640490,Dimitri Seront,640490,Dimitri Seront,0,0,False,903286,,-1,False,False,20,2,[]
640490,Dimitri Seront,640490,Dimitri Seront,1,0,False,1282595,,379309,False,False,20,2,[]
640490,Dimitri Seront,640490,Dimitri Seront,2,0,False,1676632,,394037,False,False,20,2,[]
640490,Dimitri Seront,640490,Dimitri Seront,3,0,False,2054317,,377685,True,True,20,2,[]
30319,Francesco Bernardo,30319,Francesco Bernardo,0,0,False,882455,,-1,False,False,20,3,[]
30319,Francesco Bernardo,30319,Francesco Bernardo,1,0,False,1266187,,383732,True,True,20,3,[]
30319,Francesco Bernardo,30319,Francesco Bernardo,2,0,False,1664717,,398530,False,False,20,3,[]
30319,Francesco Bernardo,30319,Francesco Bernardo,3,0,False,2051718,,387001,False,False,20,3,[]
19557,Daniel Oriola Juan,19557,Daniel Oriola Juan,0,2,False,941366,,-1,False,False,19,4,['pitted']
19557,Daniel Oriola Juan,19557,Daniel Oriola Juan,1,0,False,1329087,,387721,False,False,19,4,[]
19557,Daniel Oriola Juan,19557,Daniel Oriola Juan,2,0,False,1716528,,387441,True,True,19,4,[]
