session_id,time_limit,qualify_length,race_length
215435473.0,300,0,0
215447860.0,300,0,0
215535508.0,300,0,0
215717125.0,300,0,0
215811773.0,300,0,0
215875436.0,660,40,480
218023358.0,300,0,0
218119098.0,300,0,0
218227911.0,300,0,0
218407956.0,300,0,0
218503904.0,300,0,0
218572461.0,360,40,240
220080032.0,300,0,0
220175532.0,300,0,0
220284352.0,300,0,0
220465261.0,300,0,0
220562158.0,300,0,0
220630538.0,720,40,600
220641379.0,600,0,585
221423899.0,300,0,0
221519514.0,300,0,0
221713235.0,420,0,0
221809252.0,300,0,0
221905180.0,300,0,0
,480,40,360
