"cust_id","display_name","latest_iRating","car_class_name","car_number","team_id","team_display_name","gtp","lmp2","gt3pro","gt3am"
"746572","Wesley Kaspers","7709","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"350329","Erwin Lucas Liszkowicz","7039","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"574351","Jeremiah Kaiser","5020","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"93943","Ryan Littlemore","5165","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"289748","A.J. Stravato","5178","GTP","50","-333550","Project Valorous $50","True","True","True","No"
"620347","Norbert Tamas","6126","GTP","55","-288087","Magic Arrow #55","True","True","True","No"
"477938","Balazs Turoczy","5353","GTP","55","-288087","Magic Arrow #55","True","True","True","No"
"684015","Eran Aviner","3506","GTP","55","-288087","Magic Arrow #55","True","True","True","No"
"742620","Norbert Frank","3580","GTP","55","-288087","Magic Arrow #55","True","True","True","No"
"909993","Josh E Tucker","3074","GTP","76","-289324","Reiter Engineering Esports","True","True","True","Gold"
"786912","Hendrik Ipsen","3913","GTP","76","-289324","Reiter Engineering Esports","True","True","True","No"
"954931","Zidar Ates","3013","GTP","76","-289324","Reiter Engineering Esports","True","True","True","Gold"
"289340","Jan K?rbs","5384","GTP","76","-289324","Reiter Engineering Esports","True","True","True","No"
"167281","Coen Gerrits","3877","GTP","56","-271970","Magic Arrow #56","True","True","True","No"
"620344","Dominik Fekete","3484","GTP","56","-271970","Magic Arrow #56","True","True","True","Gold"
"528552","Niclas Ge?ner","5235","GTP","56","-271970","Magic Arrow #56","True","True","True","No"
"324079","Patrick Szilvasi","5207","GTP","56","-271970","Magic Arrow #56","True","True","True","No"
"697478","Julien Jouy","3680","GTP","10","-338364","Old Firm Racing #Purple","True","True","True","No"
"490005","Randy Martin y Mateos","3656","GTP","10","-338364","Old Firm Racing #Purple","True","True","True","No"
"427405","Kevin Jailler","3090","GTP","10","-338364","Old Firm Racing #Purple","True","True","True","Gold"
"809817","Alexandre Carlier","2923","GTP","10","-338364","Old Firm Racing #Purple","True","True","True","Gold"
"865071","Reagon Carty","3157","GTP","16","-273610","Dead Bull Racing","True","True","True","Gold"
"302537","Charlie Monroe","3335","GTP","16","-273610","Dead Bull Racing","True","True","True","Gold"
"781721","Kajeme Murrieta","3391","GTP","16","-273610","Dead Bull Racing","True","True","True","Gold"
"527266","Cory Ratcliffe","2986","GTP","16","-273610","Dead Bull Racing","True","True","True","Gold"
"387312","Gianpaolo Filippo Cristini","5165","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"758401","Alessio Bonino","6701","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"445397","Alessandro Izzo","6758","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"441328","Davide Favaro","3887","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"331136","Marco Marozzi","5542","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"368643","Lorenzo Zoffoli2","4685","GTP","23","-137591","Zero7 Racing GTP","True","True","True","No"
"335781","Mike R","3298","GTP","66","-345517","Carbono eSports JD GTP","True","True","True","Gold"
"292820","Juanjo Gragera","2629","GTP","66","-345517","Carbono eSports JD GTP","True","True","True","Silver"
"299849","Vicente Lara","2581","GTP","66","-345517","Carbono eSports JD GTP","True","True","True","Silver"
"367828","Pablo Riestra","3419","GTP","66","-345517","Carbono eSports JD GTP","True","True","True","Gold"
"300176","Alex Gonz?lez","3092","GTP","66","-345517","Carbono eSports JD GTP","True","True","True","Gold"
"79169","Hugo Preto","4452","GTP","7","-303388","Foccus Racing","True","True","True","No"
"844532","F?bio M Salvaterra","4063","GTP","7","-303388","Foccus Racing","True","True","True","No"
"817410","Mix Bonito","2569","GTP","7","-303388","Foccus Racing","True","True","True","Silver"
"725974","Gon?alo B Paix?o","2529","GTP","7","-303388","Foccus Racing","True","True","True","Silver"
"856446","Diogo Cabe?as","2748","GTP","7","-303388","Foccus Racing","True","True","True","Silver"
"740664","Joao Jorge7","2526","GTP","7","-303388","Foccus Racing","True","True","True","Silver"
"823793","Luciano Gomes","2923","GTP","7","-303388","Foccus Racing","True","True","True","Gold"
"200773","Ander Gomez","3240","GTP","52","-333552","Project Valorous Academy $52","True","True","True","Gold"
"319231","Jeffrey M Aroyan","3980","GTP","52","-333552","Project Valorous Academy $52","True","True","True","No"
"472821","Ryan Hardinge","2692","GTP","52","-333552","Project Valorous Academy $52","True","True","True","Silver"
"592411","Marc Rozendaal","3232","GTP","52","-333552","Project Valorous Academy $52","True","True","True","Gold"
"245246","Alberto Garc?a Blasco","6004","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"535122","Ca?o Lopez","6209","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"799932","Felix Manzanedo","3111","GTP","33","-306596","XBD Racing GTP","True","True","True","Gold"
"451775","Iv?n Hernandez","6303","GTP","33","-306596","XBD Racing GTP","True","True","True","No"
"607475","Lorenzo Castellani","6310","IMSA23","201","-129672","Zero7 Racing GT","True","True","True","No"
"19423","Fabio Ponta","6196","IMSA23","201","-129672","Zero7 Racing GT","True","True","True","No"
"732557","Alex Caon","6316","IMSA23","201","-129672","Zero7 Racing GT","True","True","True","No"
"443123","Alessio Bernardini","7829","IMSA23","201","-129672","Zero7 Racing GT","True","True","True","No"
"498058","Alberto Moreno S","6157","IMSA23","266","-345519","Carbono eSports JD GT3 Pro","True","True","True","No"
"633220","Gerard Sardeny Saez","5187","IMSA23","266","-345519","Carbono eSports JD GT3 Pro","True","True","True","No"
"364474","Rubens Llorente","5383","IMSA23","266","-345519","Carbono eSports JD GT3 Pro","True","True","True","No"
"347782","Hugo PJ Valentin","4710","IMSA23","253","-333553","Project Valorous Academy $253","True","True","True","No"
"530304","Luis Gaspar","4549","IMSA23","253","-333553","Project Valorous Academy $253","True","True","True","No"
"380757","Lauri Korpela2","3089","IMSA23","253","-333553","Project Valorous Academy $253","True","True","True","Gold"
"334212","Alex A Schmidt","4450","IMSA23","253","-333553","Project Valorous Academy $253","True","True","True","No"
"273285","Ale G Torres","5774","IMSA23","274","-321313","Enosis eSports","True","True","True","No"
"257614","Roman Farre Ortiz","4003","IMSA23","274","-321313","Enosis eSports","True","True","True","No"
