"car_class_name","finish_position_in_class","display_name","car_number","laps","time","timedelta"
"IMSA23","0","XBD RACING GT3 I","206","296","38476.63","0"
"IMSA23","1","SimRace Sweden eSports PRO","219","295.46","38547.46","70.83"
"IMSA23","2","RPM Racing PEC","210","294.71","38644.52","167.89"
"IMSA23","3","DTIx Motorsport","244","294.54","38667.43","190.8"
"IMSA23","4","AZR Motorsport White","220","293.68","38780.26","303.64"
"IMSA23","5","Pandemonium eSports x Sim-Lab Gold","241","293.52","38802.2","325.57"
"IMSA23","6","XBD RACING GT3 II","230","293.45","38811.02","334.39"
"IMSA23","7","Octopus Racing Team","224","293.22","38841.8","365.18"
"IMSA23","8","Hydrorace Racing Forces PEC","262","293.2","38844.05","367.42"
"IMSA23","9","EAGLE Speed Academy E-Sports #G","277","293.01","38869.54","392.91"
"IMSA23","10","HWT Motorsport","324","292.88","38886.82","410.2"
"IMSA23","11","Reiter Engineering Esports GT3","276","292.76","38903.04","426.42"
"IMSA23","12","SimRace Sweden eSports","217","292.21","38975.92","499.29"
"IMSA23","13","LITHIUM Motorsports AM","315","291.28","39099.53","622.9"
"IMSA23","14","Squadra Veloce Bravo by EAGLE RS","346","291.01","39135.94","659.31"
"IMSA23","15","Dogs on Web DS Racing","355","290.81","39162.78","686.16"
"IMSA23","16","LITHIUM Motorsports PRO","234","290.17","39249.84","773.21"
"IMSA23","17","Pandemonium eSports x Sim-Lab Red","341","289.87","39290.74","814.12"
"IMSA23","18","Virtualdrivers by Thrustmaster #1","213","289.03","39404.35","927.72"
"IMSA23","19","Slippers Racing Team","399","288.18","39520.17","1043.55"
"IMSA23","20","Enosis eSports PEC GT3","274","287.94","39553.98","1077.35"
"IMSA23","21","THLF eSports","298","287.87","39563.89","1087.27"
"IMSA23","22","IS Corse","269","287.25","39648.67","1172.04"
"IMSA23","23","Strumentti DS Racing","255","287.2","39655.98","1179.35"
"IMSA23","24","Team Racegitter.de #Black","264","285.63","39873.89","1397.27"
"IMSA23","25","SMURF RACING TEAM#391","391","285.62","39874.66","1398.04"
"IMSA23","26","DIGITRAQZ - Black","222","280.74","40568.43","2091.8"
"IMSA23","27","CORE MOTORSPORTS","299","277.17","41090.93","2614.3"
"IMSA23","28","RPM Racing Black PEC","211","281.33","40482.38","2005.76"
"IMSA23","29","Taylor Mills Racing #242","242","274.66","41465.99","2989.36"
"IMSA23","30","SimRace Sweden eSports PRO II","218","288.47","39480.36","1003.74"
"IMSA23","31","Fury Simsport GT3","202","286.83","39706.89","1230.26"
"IMSA23","32","Hellenic Racing","289","192.26","59239.1","20762.48"
"IMSA23","33","Pandemonium eSports x Sim-Lab White","240","267.61","42558.14","4081.51"
"IMSA23","34","SMURF RACING TEAM#291","291","264.82","43006.91","4530.28"
"IMSA23","35","Octopus Racing Team Black","34","171.8","66292.46","27815.83"
"IMSA23","36","DDK by EAGLE Speed Academy","377","81.51","139731.36","101254.73"
"IMSA23","37","Dead Bull Racing","216","0","0","-38476.63"
"IMSA23","38","Purple Sector Motorsports #348","348","0","0","-38476.63"
