"car_class_name","finish_position_in_class","display_name","car_number","laps","time","timedelta"
"GTP","0","Old Firm Racing #Orange","96","336","38469.01","0"
"GTP","1","Foccus Racing GTP","7","335.73","38500.32","31.32"
"GTP","2","DLR x Sim-Lab \\ Orange","5","335.07","38575.86","106.85"
"GTP","3","Old Firm Racing # Yellow","69","334.42","38650.68","181.68"
"GTP","4","The Rolling Goat","13","333.81","38721.72","252.71"
"GTP","5","Magic Arrow #55","55","332.26","38902.32","433.31"
"GTP","6","XBD Racing GTP","33","331.91","38943.58","474.57"
"GTP","7","Reiter Engineering Esports II","2","330.27","39136","666.99"
"GTP","8","Fury Simsport GTP","30","329.93","39177.06","708.05"
"GTP","9","Race2Esport","70","328.98","39290.09","821.08"
"GTP","10","Backmarker Racing Razzle Dazzle","24","328.67","39326.72","857.71"
"GTP","11","Taylor Mills Racing #41","41","325.41","39721.28","1252.27"
"GTP","12","Project Valorous $50","50","324.08","39883.77","1414.76"
"GTP","13","Project Valorous $51","51","322.36","40096.26","1627.25"
"GTP","14","Carbono eSports GTP","66","322.22","40114.37","1645.36"
"GTP","15","Enosis eSports PEC GTP","74","331","39049.99","580.98"
"GTP","16","DLR x Sim-Lab \\ White","6","311.34","41516.4","3047.39"
"GTP","17","Simracing.Center LMDh","67","259.16","49875.57","11406.56"
"GTP","18","Reiter Engineering Esports","1","0","0","-38469.01"
