team_id,cust_id,display_name,race_count,old_classification,total_time,avg_speed,total_avg_speed,percentage,new_classification,driven,deadzone,reclassified
-129672,443123,Alessio Bernardini,1,Gold,21210.21,178.71,178.70952554053397,59.0,Gold,True,False,False
-127445,19423,Fabio Ponta,1,Gold,21783.4,178.24,178.24232445866775,61.0,Gold,True,False,False
-223528,380763,David Assuncao,1,Gold,10564.64,178.15,178.15395282309257,29.0,Gold,True,False,False
-159910,420543,Pascal Haß,1,Gold,5241.9,177.84,177.83957351279514,15.0,Gold,True,False,False
-134184,286658,Marcelo Eusébio,1,Gold,16979.55,177.62,177.61934517569085,47.0,Gold,True,False,False
-223528,465352,Filipe RC Barreto,1,Gold,21617.05,177.59,177.5950303505099,60.0,Gold,True,False,False
-129672,758401,Alessio Bonino,1,Gold,14634.74,177.48,177.48439118560822,41.0,Gold,True,False,False
-299092,852455,Vincenzo Sorice Jr,1,Gold,10106.74,177.46,177.4557206855914,28.0,Gold,True,False,False
-96989,366403,Nils Corr,1,Gold,8465.38,177.43,177.42813526706672,23.0,Gold,True,False,False
-134184,667770,Pedro Daniel Paquete,1,Gold,8580.78,177.38,177.3756932314644,24.0,Gold,True,False,False
-299638,346983,Vicente Orozco,1,Gold,15108.64,177.36,177.35561182577408,42.0,Gold,True,False,False
-127445,59708,Luigi Nespolino,1,Gold,14166.49,177.28,177.2796147379088,39.0,Gold,True,False,False
-159910,409965,Thomas Pieber,1,Gold,16106.07,177.27,177.2724753884693,45.0,Gold,True,False,False
-62993,81643,Bryan Krauss,1,Gold,7354.83,176.86,176.864224658477,20.0,Gold,True,False,False
-129653,365305,Davo Ramos,1,Gold,10328.94,176.79,176.79189592070006,29.0,Gold,True,False,False
-299638,19254,Cesar Carregal,1,Gold,10695.54,176.77,176.76805515677745,29.0,Gold,True,False,False
-297933,180064,Nic Veltenaar,1,Gold,7959.13,176.72,176.72444145420985,22.0,Gold,True,False,False
-159910,347495,Marko Zeiler,1,Gold,13673.52,176.64,176.64265688187473,38.0,Gold,True,False,False
-134184,676270,Cassio Medeiros,1,Gold,10285.04,176.62,176.6162884367645,28.0,Gold,True,False,False
-96989,445418,Thomas Fischer2,1,Gold,14236.95,176.61,176.61324844157792,39.0,Gold,True,False,False
-96989,398267,Ben Idris Abdillahi,1,Gold,12819.45,176.52,176.52109202712916,35.0,Gold,True,False,False
-278379,389317,Steven Bird2,1,Gold,15080.89,176.48,176.484721707828,42.0,Gold,True,False,False
-232258,641212,Pedro M Oliveira,1,Silver,10515.86,176.46,176.4580661915342,29.0,Gold,True,False,True
-223528,301748,Joao Nascimento,1,Gold,3651.14,176.42,176.42176765270122,10.0,Gold,True,False,False
-129653,389453,Carlos Ruiz3,1,Gold,10229.44,176.36,176.36427620082586,28.0,Gold,True,False,False
-129653,649681,Joselu Otero,1,Gold,15085.54,176.32,176.3224662193201,42.0,Gold,True,False,False
-175849,843051,Linus Griese,1,Silver,15396.9,176.32,176.32196137914298,43.0,Gold,True,False,True
-62993,722391,Matthew Luke Sr,1,Silver,7402.8,176.29,176.29303194049854,20.0,Gold,True,False,True
-299092,327245,Paolo Ernesto Taddeolini,1,Gold,16837.43,176.28,176.27728390255268,46.0,Gold,True,False,False
-62993,651954,Cade Middleton,1,Silver,12053.85,176.28,176.27525069758585,33.0,Gold,True,False,True
-252527,727711,Ryan O'Connor6,1,Silver,21327.27,176.24,176.23526436702605,59.0,Gold,True,False,True
-297933,413083,Ryan Scott Hamilton,1,Gold,10666.95,176.16,176.1646497075811,29.0,Gold,True,True,False
-62993,656823,Rink Wilbrink3,1,Gold,8964.01,176.15,176.14898969336022,25.0,Gold,True,True,False
-278379,416545,Martin Hobson,1,Gold,19982.65,176.1,176.10283181027089,55.0,Gold,True,True,False
-280178,451680,Kris van Strijland,1,Silver,13718.82,176.06,176.06014958918558,0.0,Silver,True,True,False
-232258,858949,Gonçalo C Ferreira,1,Gold,10713.44,175.97,175.97426350175286,29.0,Gold,True,True,False
-257829,25377,Aurelio Carneiro,1,Silver,6839.53,175.86,175.86098444291304,0.0,Silver,True,True,False
-299638,273285,Ale G Torres,1,Gold,10208.43,175.75,175.75337005725774,28.0,Gold,True,True,False
