team_id,display_name,race_count,percentage
-306961,Scopum Racing E-Sports Team Silver,1,0.0
-158916,Over The Limit racing,1,0.0
-305563,Scopum Racing E-Sport Team Silver,1,0.0
-286482,Kairos eSports #229,2,65.5
-218497,Blue Chip Racing,3,98.0
-302748,Platinum Racing Team White,2,75.0
-272629,Platinum Racing Team red,3,34.67
-247532,Krips Racing Green,3,82.67
-214868,Sissi State Punks Racing,3,0.0
-297670,TR Geekz Energy Simracing GT3,3,0.0
-159910,Austrian Simracers Red,3,97.67
-243021,Elite Racing Team,4,11.25
-299312,CM x MSi Gaming GT3,4,23.75
-129672,RACING TEAM #208,5,100.0
-127445,RACING TEAM #221,5,99.6
-223528,SimVision,5,99.2
-134184,GROW RACING TEAM RED,5,93.8
-110547,Carbono eSports,5,65.2
-159911,Austrian Simracers Blue,5,9.4
-299638,Ingersoll Rand Enosis eSports #215,5,84.0
-298040,Peaky Drivers GT3,4,43.25
-232258,SIMVISION #228,2,90.5
-299092,YS Sim-Sport PEC,5,58.8
-297933,Prestanda NOMAD #209,2,74.0
-129653,Octopus Racing Team,5,90.2
-257830,SR TECHNIC,5,46.8
-96989,Chicane Online Racing Red,5,89.2
-140651,Chicane Online Racing Orange,5,0.0
-280178,Trackside Esports,5,19.8
-257829,SR TECHNIC #PEC,5,6.6
-312337,Sissi State Punks Racing,2,0.0
-264062,Team Upstate,5,0.0
-175849,Maniti Racing Yellow,5,25.0
-252527,Krips Racing Blue,5,0.0
-258771,PROTOSIM #2,5,5.8
-257782,PROTOSIM #3,5,0.0
-278379,Platinum Racing Team Orange,5,70.6
-62993,Fury Simsport Academy,5,17.6
