"car_class_name","finish_position_in_class","display_name","car_number","laps","time","timedelta"
"IMSA23","0","RPM Racing PEC","210","339","36118.52","0"
"IMSA23","1","SimRace Sweden eSports PRO","219","338.41","36181.2","62.68"
"IMSA23","2","Strumentti DS Racing","255","337.78","36248.46","129.94"
"IMSA23","3","SimRace Sweden eSports","217","336.98","36334.8","216.28"
"IMSA23","4","CORE MOTORSPORTS","299","336.66","36369.45","250.93"
"IMSA23","5","Enosis eSports PEC GT3","274","336.16","36423.14","304.63"
"IMSA23","6","THLF eSports","298","336.11","36428.74","310.22"
"IMSA23","7","Virtualdrivers by Thrustmaster #1","213","335.24","36523.93","405.41"
"IMSA23","8","HWT Motorsport","324","335.12","36536.54","418.02"
"IMSA23","9","XBD RACING GT3 I","206","334.65","36587.52","469.01"
"IMSA23","10","LITHIUM Motorsports AM","315","334.12","36645.7","527.18"
"IMSA23","11","Hellenic Racing","289","334.02","36656.68","538.16"
"IMSA23","12","EAGLE Speed Academy E-Sports #G","277","333.68","36694.72","576.2"
"IMSA23","13","Team Racegitter.de #Black","264","333.61","36702.45","583.93"
"IMSA23","14","IS Corse","269","330.96","36995.51","876.99"
"IMSA23","15","XBD RACING GT3 II","230","330.59","37036.83","918.32"
"IMSA23","16","DDK by EAGLE Speed Academy #G","377","328.51","37272.27","1153.75"
"IMSA23","17","Fury Simsport GT3","202","327.14","37428.52","1310"
"IMSA23","18","Pandemonium eSports x Sim-Lab White","240","326.32","37521.94","1403.43"
"IMSA23","19","Squadra Veloce Bravo by EAGLE RS","346","323.86","37806.6","1688.08"
"IMSA23","20","SimRace Sweden eSports PRO II","218","322.84","37926.61","1808.09"
"IMSA23","21","SMURF RACING TEAM#391","391","322.15","38008.24","1889.72"
"IMSA23","22","Reiter Engineering Esports GT3 PRO","276","332.5","36824.21","705.7"
"IMSA23","23","Dogs on Web DS Racing","355","314.74","38902.01","2783.5"
"IMSA23","24","Taylor Mills Racing #242","242","307.9","39766.77","3648.25"
"IMSA23","25","Slippers Racing Team","399","312.03","39239.83","3121.31"
"IMSA23","26","Pandemonium eSports x Sim-Lab Red","341","323.23","37881.15","1762.63"
"IMSA23","27","Octopus Racing Team Black","317","332.5","36824.76","706.24"
"IMSA23","28","Octopus Racing Team","224","330.02","37101.62","983.1"
"IMSA23","29","AZR Motorsport White","220","329.92","37112.19","993.68"
"IMSA23","30","Rubis G?s by NGC","229","336.14","36426.13","307.61"
"IMSA23","31","RPM Racing Black PEC","211","333.51","36713.56","595.05"
"IMSA23","32","Hydrorace Racing Forces PEC","262","279.38","43826.87","7708.35"
"IMSA23","33","Pandemonium eSports x Sim-Lab Gold","241","301.81","40569.01","4450.49"
"IMSA23","34","DIGITRAQZ - Black","222","0","0","-36118.52"
"IMSA23","35","SMURF RACING TEAM#291","291","0","0","-36118.52"
"IMSA23","36","LITHIUM Motorsports PRO","234","0","0","-36118.52"
