"car_class_name","finish_position_in_class","display_name","car_number","laps","time","timedelta"
"GTP","0","DLR x Sim-Lab \\ Orange","5","377","36021.75","0"
"GTP","1","Taylor Mills Racing #41","41","375.24","36191.06","169.31"
"GTP","2","Fury Simsport GTP","30","374.86","36227.14","205.39"
"GTP","3","XBD Racing GTP","33","374.73","36239.58","217.83"
"GTP","4","Project Valorous $50","50","374.11","36299.6","277.85"
"GTP","5","Project Valorous $51","51","373.57","36352.56","330.82"
"GTP","6","Old Firm Racing # Yellow","69","372.02","36504.01","482.26"
"GTP","7","The Rolling Goat","13","371.18","36586.76","565.01"
"GTP","8","Reiter Engineering Esports PEC","1","370.57","36646.74","624.99"
"GTP","9","Old Firm Racing #Orange","96","370.35","36668.87","647.12"
"GTP","10","Foccus Racing GTP","7","369.55","36747.74","725.99"
"GTP","11","Simracing.Center LMDh","67","367.26","36976.61","954.87"
"GTP","12","Carbono eSports GTP","66","359.69","37755.42","1733.67"
"GTP","13","Enosis eSports PEC GTP","74","374.08","36303.33","281.58"
"GTP","14","DLR x Sim-Lab \\ White","6","359.45","37780.26","1758.52"
"GTP","15","Magic Arrow #55","55","342.82","39612.63","3590.89"
"GTP","16","Backmarker Racing Razzle Dazzle","24","0","0","-36021.75"
