"car_class_name","finish_position_in_class","display_name","laps_complete","car_number","car_total_time","class_total_time","time_delta"
"GTP","0","XBD Racing GTP","314","33","36057.28","36057.28","0"
"GTP","1","Fury Simsport","314","31","36059.6","36057.28","2.32"
"GTP","2","Old Firm Racing By HelvetSim","314","97","36093.48","36057.28","36.2"
"GTP","3","Connection Lost Racing","313","44","36212.71","36057.28","155.43"
"GTP","4","VULKAN Motorsports Orange","313","32","36274.16","36057.28","216.88"
"GTP","5","DLR SimLab \\ Red","307","18","36946.5","36057.28","889.22"
"GTP","6","Reiter Engineering Esports","296","76","37955.54","36057.28","1898.26"
"GTP","7","DLR SimLab \\ White","295","2","36738.72","36057.28","681.44"
"GTP","8","NGC by Rubis G?s (Butano)","262","42","36557.95","36057.28","500.67"
"GTP","9","DLR SimLab \\ Orange","243","1","42857.14","36057.28","6799.86"
"GTP","10","Taylor Mills Racing #41","242","41","37076.9","36057.28","1019.62"
"GTP","11","Unlucky Luc Racing","0","96","0","36057.28","-36057.28"
"GTP","12","GO! eSports","0","23","0","36057.28","-36057.28"
"GT3 Class","0","FastRepair Motorsport","290","102","36134.29","36134.29","0"
"GT3 Class","1","RPM Racing PEC","289","110","36196.03","36134.29","61.74"
"GT3 Class","2","Virtualdrivers by Thrustmaster #1","287","113","36500.21","36134.29","365.92"
"GT3 Class","3","Orca Performance Racing #Black","287","164","36519.26","36134.29","384.98"
"GT3 Class","4","Valkyrie Exype Green","287","177","36553.98","36134.29","419.69"
"GT3 Class","5","Negative Delta by SimGear.gg","286","181","36579.32","36134.29","445.03"
"GT3 Class","6","Top Tier Motorsport","286","130","36610.73","36134.29","476.44"
"GT3 Class","9","EAGLE Speed Academy E-Sports #S","285","186","36742.71","36134.29","608.42"
"GT3 Class","10","M4sked Devils eSports","284","161","36882.32","36134.29","748.03"
"GT3 Class","11","GO! eSports BJ","283","188","37028.3","36134.29","894.01"
"GT3 Class","12","DDK Racing Team #G","283","126","37035.96","36134.29","901.67"
"GT3 Class","21","VULKAN Motorsports Gold","271","132","36933.85","36134.29","799.56"
"GT3 Class","22","Enosis eSports Simultimate GT3","240","174","36662.82","36134.29","528.52"
"GT3 Class","23","Enosis eSports Emix","167","178","36307.48","36134.29","173.19"
"GT3 Class","7","Orca Performance Racing #Blue","285","264","36064.9","36064.9","0"
"GT3 Class","8","Carbono eSports GT3 Am","285","232","36074.05","36064.9","9.15"
"GT3 Class","13","EAGLE Speed Academy E-Sports #G","281","285","36609.36","36064.9","544.46"
"GT3 Class","14","DDK Racing Team #S","281","226","36614.12","36064.9","549.22"
"GT3 Class","15","MRRS Racing Amethyst","280","270","36715.47","36064.9","650.57"
"GT3 Class","16","#291 SMURF RACING TEAM","280","291","36777.14","36064.9","712.24"
"GT3 Class","17","Locals Autosport","278","222","37070.21","36064.9","1005.31"
"GT3 Class","18","IS Corse Red","274","269","37550","36064.9","1485.11"
"GT3 Class","19","Squadra Veloce Alpha by EAGLE RS","274","246","37550.49","36064.9","1485.59"
"GT3 Class","20","DLR SimLab \\ Green","273","234","37648.39","36064.9","1583.49"
