team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-306596,XBD Emiral Racing,245246,Alberto García Blasco,6174,214.5513,14,213.74468181818185,11,229.5557634099987,3003.7182,2351.1915000000004,22.0
-306596,XBD Emiral Racing,637180,Hugo González Aranda,5398,213.6573,5,213.6573,2,229.64964740076752,1068.2865,427.3146,8.0
-249688,LEO RACING TEAM LMP2,387312,Gianpaolo Filippo Cristini,5014,214.2261,10,214.22605,8,229.03994920132268,2142.261,1713.8084,15.0
-261365,MRP by Fields Academy,512050,Alberto Gazapo,7031,577.1342,14,213.42686666666665,9,229.89759619266928,8079.8787999999995,1920.8418,22.0
-261365,MRP by Fields Academy,310141,Cristian Streitemberger,5289,217.9419,4,214.5359,1,228.70915128703402,871.7676,214.5359,6.0
-279040,Platinum Racing Team Black,604599,Daan Pepels,2084,217.7371,29,215.32017826086957,23,227.8761052768313,6314.3759,4952.3641,45.0
-279040,Platinum Racing Team Black,427545,Marnix Heijster,3180,217.6079,16,214.30825,8,228.95209871575173,3481.7264,1714.466,25.0
-279040,Platinum Racing Team Black,686915,Nick Kerstens,2512,218.1005,20,216.37196153846156,13,226.76840040052107,4362.01,2812.8355,31.0
-201381,Peaky Drivers LMP2,528821,Ivan Spitz,2473,216.5062,21,216.50615263157897,19,226.62784873875833,4546.6302000000005,4113.616900000001,32.0
-254304,Platinum Racing Team Blue,363812,Vincent Aussems,3940,215.8598,10,214.84124285714287,7,228.38409868177078,2158.598,1503.8887000000002,15.0
-303752,Auriga Corse,578970,Péter Hercsel,2506,217.4306,14,215.9689,11,227.19161698559378,3044.0284,2375.6578999999997,22.0
-53704,LITHIUM Motorsports,611888,Milo Speelman,2483,216.189,6,216.18898,5,226.9603363205655,1297.134,1080.9449,9.0
-53704,LITHIUM Motorsports,380152,Zachary Livengood,2561,218.3544,25,218.02221052631577,19,225.05194994194218,5458.86,4142.422,38.0
-164695,BAZINGA Motorsport,512418,Niklas Röder,2198,222.4761,14,216.51237272727272,11,226.62133803967788,3114.6654,2381.6360999999997,22.0
-109804,CARBONO eSPORTS Black,292820,Juanjo Gragera,2519,216.0468,2,216.04685,2,227.10964593836937,432.0936,432.0937,3.0
