team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-223528,,339819,Joao Reis,4526,125.7815,36,125.78145185185184,27,186.45553774353826,4528.134,3396.0991999999997,53.0
-223528,,465352,Filipe RC Barreto,6241,127.1818,32,126.83766086956521,23,184.90287571069106,4069.8176,2917.2662,47.0
-286482,,462694,David Prevautel,5718,125.6352,13,125.63515,10,186.67266480121208,1633.2576,1256.3515,19.0
-272629,,407173,John Silvester,4058,126.5948,12,125.06463333333332,6,187.52422342047674,1519.1376,750.3878,18.0
-129672,,607475,Lorenzo Castellani,5953,125.5366,21,125.53658461538463,13,186.8192313424294,2636.2686000000003,1631.9756000000002,31.0
-110547,,621443,Roberto C Freezer,5471,126.0674,11,125.2325142857143,7,187.2728370660472,1386.7414,876.6276000000001,16.0
-110547,,633220,Gerard Sardeny Saez,5119,133.2522,5,126.98755,2,184.68462651023663,666.261,253.9751,7.0
-299312,,732337,Davide De Marco2,1610,125.7655,10,125.76548000000001,5,186.47921705701754,1257.655,628.8274,15.0
-127445,,59708,Luigi Nespolino,5480,125.993,10,125.87113333333332,6,186.32269069265024,1259.9299999999998,755.2267999999999,15.0
-299092,,327245,Paolo Ernesto Taddeolini,3446,127.4483,28,126.61106799999999,25,185.23379206626709,3568.5524,3165.2767,41.0
-299638,,593886,Jorge Sánchez Rodríguez,5789,125.8853,6,125.88532,5,186.30169302663728,755.3118,629.4266,9.0
-257830,,613054,Luis Marinho,3535,126.3502,12,126.35021,10,185.61621894573818,1516.2024000000001,1263.5021000000002,18.0
-264062,,478574,Matias Nievas Soto,2140,127.6006,20,127.74844166666668,12,183.5846131445961,2552.012,1532.9813000000001,29.0
-129653,,649681,Joselu Otero,2934,125.9249,4,125.9249,3,186.24313573566468,503.6996,377.7747,6.0
-129653,,365305,Davo Ramos,3462,127.4266,45,127.4265894736842,38,184.0483084422767,5734.197,4842.2104,66.0
-239055,,564555,Mauro Dragoni,2672,127.7194,19,127.71939333333333,15,183.62636739113856,2426.6686,1915.7909,28.0
-214868,,113603,Norbert Windholz,2337,127.6819,36,127.28640800000001,25,184.25100222169834,4596.5484,3182.1602000000003,53.0
-214868,,332166,Mathias Saurer,2134,128.2978,5,128.297825,4,182.79848659320612,641.489,513.1913,7.0
-258771,,796249,Guilherme Costa Reis,2494,126.9951,8,126.99515,6,184.67357409475875,1015.9608,761.9709,12.0
-140651,,595176,Christopher Rowe3,1695,127.3759,10,127.3758875,8,184.1215688738577,1273.759,1019.0071,15.0
-159910,,235585,Markus Riemer,5175,127.1073,7,127.107325,4,184.51059561830917,889.7511,508.4293,10.0
-159911,,461635,Markus Deutsch,2068,129.9448,10,128.3958,7,182.65899852798924,1299.4479999999999,898.7706000000001,15.0
-159911,,393889,Stefan Kapeller,2435,127.5463,5,127.5463,3,183.87556709367502,637.7315,382.63890000000004,7.0
-257782,,149607,Pedro Bragança,1768,128.1835,6,128.18355,4,182.96145053870018,769.1010000000001,512.7342,9.0
-257829,,201606,Manuel M Cruz,1730,127.5614,10,127.56143,10,183.85375770089752,1275.614,1275.6143,15.0
-175849,,364155,Stefan Schuster,2425,127.5829,4,127.5829,4,183.82281828677668,510.3316,510.3316,6.0
-280178,,662411,Peppe Kerstens,1644,129.202,18,128.9032692307692,13,181.9399025575827,2325.636,1675.7424999999998,26.0
