team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-243684,Altitude Esports,176521,Tom R Dadswell,4562,117.8714,8,110.54725,4,212.1504446578273,942.9712,442.189,16.0
-243684,Altitude Esports,259215,Bryan Loynes,2947,112.9624,24,109.16621764705882,17,214.83430266883363,2711.0976,1855.8256999999999,47.0
-201262,SimTech Motorsport LMDh,316148,Matej Surhanak,4313,109.6963,26,109.16964615384614,13,214.82755573055178,2852.1038,1419.2053999999998,51.0
-201262,SimTech Motorsport LMDh,316144,Standa Sehnall,4428,109.8358,25,109.1467,16,214.87271940608375,2745.895,1746.3472,49.0
-233878,DLR - SimLab \\ Orange,722146,Yannick Gerards,2934,111.7219,28,109.43083333333333,21,214.314809901536,3128.2132,2298.0474999999997,55.0
-302846,EPOCH MOTORSPORT,55357,Luca Morelli,5436,110.0187,26,109.04649545454546,22,215.07016933869198,2860.4862,2399.0229000000004,51.0
-302846,EPOCH MOTORSPORT,454593,Diego Merli,5904,109.588,19,109.58804117647058,17,214.00736787907354,2082.172,1862.9967,37.0
-305677,Delta Racing LMDh,394951,Joao Vitor Delgado,2476,111.1308,23,110.24131875,16,212.73918444666646,2556.0083999999997,1763.8611,45.0
-297570,Blue Chip Racing LMDh,834789,Robert Wayne,2410,112.3655,7,110.01728,5,213.17240567299973,786.5585,550.0864,14.0
-284108,Magic Arrow,477938,Balazs Turoczy,3010,112.7628,7,110.41045,6,212.4133018495985,789.3396,662.4627,14.0
-275533,RACAR eSports Team,171867,Leandro Mendes,4475,110.1147,29,109.707752,25,213.7738474779795,3193.3263,2742.6938,57.0
-297671,TR Geekz Energy Simracing LMDh,598737,Samuel Buikema,3506,115.4567,23,110.35755714285713,14,212.51510861952755,2655.5041,1545.0058,45.0
-145316,Octopus Racing Team LMDH,522535,Martín R. Pérez,3020,110.9454,26,110.506325,24,212.22901262167574,2884.5804000000003,2652.1518,51.0
-304104,Team Upstate GTP,590492,Timothy Brei,3754,111.8941,30,111.40984615384615,26,210.50785951911448,3356.823,2896.656,59.0
