team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-249688,LEO RACING TEAM LMP2,318720,Michele Sangalli,7547,111.0657,5,114.61791000000001,70,204.61591249744475,555.3285000000001,8023.2537,56.0
-261365,MRP by Fields Academy,310141,Cristian Streitemberger,5289,111.3407,8,114.34073962264152,53,205.1119165452377,890.7256,6060.059200000001,89.0
-306596,XBD Emiral Racing,637180,Hugo González Aranda,5398,111.6512,9,114.23919594594594,74,205.29423416370147,1004.8608,8453.700499999999,100.0
-254304,Platinum Racing Team Blue,532015,Winston Ekkel,3299,112.7798,4,114.14985934065935,91,205.4549026925199,451.1192,10387.637200000001,44.0
-201381,Peaky Drivers LMP2,346139,Kevin Cordoba,4797,117.2186,5,115.22067272727273,44,203.54548960768878,586.093,5069.7096,56.0
-164695,BAZINGA Motorsport,466164,Leonhard V Ziegler,2592,112.2272,7,114.84374819277109,83,204.21353893669104,785.5903999999999,9532.0311,78.0
-303752,HW Racing,324079,Patrick Szilvasi,5034,113.2228,5,114.67786451612905,93,204.50893764159227,566.114,10665.041400000002,56.0
-298629,Scopum Racing E-Sports Team Purple,857815,Lemi Mischke,2250,112.2068,7,115.12402857142857,7,203.71636168594318,785.4476,805.8682,78.0
-140500,505 Endurance,347464,Jens Kaiser,4168,112.3236,7,114.73794117647058,68,204.4018569858168,786.2652,7802.179999999999,78.0
-279040,Platinum Racing Team Black,492400,Maarten Beers,2383,112.6921,6,115.17572666666666,45,203.62492099637433,676.1526,5182.9077,67.0
-279040,Platinum Racing Team Black,427545,Marnix Heijster,3180,0.0,0,115.17390158730159,63,203.62814769648958,0.0,7255.9558,0.0
-53704,LITHIUM Motorsports,543930,Kevin Nguyen5,2807,112.4446,5,115.15862777777778,36,203.65515546483152,562.223,4145.7106,56.0
-53704,LITHIUM Motorsports,380152,Zachary Livengood,2561,113.5498,2,116.96787906976745,43,200.50503120785217,227.0996,5029.6188,22.0
-109804,Carbono eSports Black,299849,Vicente Lara,2531,112.679,7,116.53045428571428,35,201.25767454486882,788.753,4078.5659,78.0
