team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-145316,Octopus Racing Team LMDH,366068,Stephane Civeira Lareo,4142,92.2555,89,91.60204337349398,83,185.75913106457767,8210.7395,7602.9696,58.0
-145316,Octopus Racing Team LMDH,522535,Martín R. Pérez,3159,92.3311,65,92.15519016393444,61,184.64414158910057,6001.521500000001,5621.466600000001,42.0
-284108,Magic Arrow,684015,Eran Aviner,3020,93.252,99,91.67528571428572,84,185.6107221070642,9231.948,7700.724,64.0
-284108,Magic Arrow,742620,Norbert Frank,2351,93.6297,55,91.94391666666667,48,185.0684264679465,5149.6335,4413.308,36.0
-305677,Delta Racing LMDh,529361,Higo Oliveira,3479,96.56,82,91.94310833333334,72,185.07005352820985,7917.92,6619.903800000001,53.0
-305677,Delta Racing LMDh,394951,Joao Vitor Delgado,2470,93.6561,70,92.45844285714286,63,184.0385307709672,6555.927,5824.8819,45.0
-243684,Altitude Esports,176521,Tom R Dadswell,4599,106.5537,51,91.10232558139535,43,186.7780638113034,5434.2387,3917.4,33.0
-243684,Altitude Esports,259215,Bryan Loynes,2964,91.9689,49,90.77185777777778,45,187.4580558046674,4506.4761,4084.7336,32.0
-243684,Altitude Esports,388214,Mark D Hutchinson,4002,92.9483,48,91.54248181818183,44,185.8799941058662,4461.5184,4027.8692000000005,31.0
-132790,Reiter Engineering Esports,708185,Denis Robin Wolf,6658,97.068,58,90.89091296296297,54,187.21251031699717,5629.9439999999995,4908.1093,38.0
-132790,Reiter Engineering Esports,705991,Juan Roldán,3227,91.8309,45,90.51556,40,187.98884943980903,4132.3905,3620.6223999999997,29.0
-132790,Reiter Engineering Esports,289340,Jan Körbs,4221,121.3195,38,91.27118484848485,33,186.4325088914683,4610.1410000000005,3011.9491000000003,25.0
-275533,RACAR eSports Team,171867,Leandro Mendes,4481,107.5479,86,91.03301351351351,74,186.92027566761865,9249.1194,6736.442999999999,56.0
-275533,RACAR eSports Team,447698,Frederico Faria,3376,93.0486,55,91.77244901960785,51,185.41420832263532,5117.673,4680.3949,36.0
-201262,SimTech Motorsport LMDh,316148,Matej Surhanak,4255,91.4271,20,90.8426875,16,187.3118954214119,1828.542,1453.483,13.0
-201262,SimTech Motorsport LMDh,316144,Standa Sehnall,4428,0.0,0,0.0,0,inf,0.0,0.0,0.0
-297671,TR Geekz Energy Simracing Zelta,711842,Floris Harsevoord,4416,99.511,7,90.287,5,188.46474000465182,696.577,451.43500000000006,5.0
