team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-299312,CM x MSi Gaming GT3,605082,Mich Comazzetto,2073,304.0014,3,0,0,inf,912.0042,0,2
-129672,RACING TEAM #208,443123,Alessio Bernardini,7646,103.6356,58,102.7010868,53,165.683894,6010.8648,5443.1576,42
-129672,RACING TEAM #208,758401,Alessio Bonino,5847,104.6205,80,103.3414054,74,164.6572921,8369.64,7647.264,58
-127445,RACING TEAM #221,59708,Luigi Nespolino,5544,104.8409,52,103.6037149,47,164.2404039,5451.7268,4869.3746,38
-127445,RACING TEAM #221,19423,Fabio Ponta,6098,105.5544,85,103.7798418,79,163.9616682,8972.124,8198.6075,62
-223528,SimVision,465352,Filipe RC Barreto,6182,105.0109,70,104.0670422,64,163.5091728,7350.763,6660.2907,51
-134184,GROW RACING TEAM RED,286658,Marcelo Eusébio,5087,105.7398,72,104.0793788,66,163.4897919,7613.2656,6869.239,52
-223528,SimVision,339819,Joao Reis,4427,104.2734,67,104.1475397,63,163.3827936,6986.3178,6561.295,49
-110547,Carbono eSports,633220,Gerard Sardeny Saez,5268,105.4956,57,104.1502333,48,163.378568,6013.2492,4999.2112,41
-159911,Austrian Simracers Blue,344263,Markus Fallmann,2228,105.2993,64,104.32938,60,163.0980265,6739.1552,6259.7628,47
-299638,Ingersoll Rand Enosis eSports #215,273285,Ale G Torres,5730,107.622,32,104.3574655,29,163.0541322,3443.904,3026.3665,23
-298040,Peaky Drivers GT3,384294,Sergio Gomez Redondo,1813,106.082,64,104.3625767,60,163.0461467,6789.248,6261.7546,46
-232258,SIMVISION #228,641212,Pedro M Oliveira,2616,104.8208,29,104.3975192,26,162.991574,3039.8032,2714.3355,21
-299092,YS Sim-Sport PEC,327245,Paolo Ernesto Taddeolini,3227,106.3704,86,104.4188675,80,162.9582506,9147.8544,8353.5094,62
-110547,Carbono eSports,323778,Jose Manuel Cazon,4661,107.6607,23,104.4254421,19,162.9479908,2476.1961,1984.0834,17
-298040,Peaky Drivers GT3,581448,Fran Reaza,2431,105.5086,72,104.600875,68,162.6747002,7596.6192,7112.8595,52
-232258,SIMVISION #228,858949,Gonçalo C Ferreira,4015,104.7148,73,104.6541435,69,162.5918995,7644.1804,7221.1359,53
-134184,GROW RACING TEAM RED,343106,Gil Afonso,3271,107.9703,27,104.654304,25,162.5916501,2915.1981,2616.3576,20
-297933,Prestanda NOMAD #209,95784,Tom Stanley,2893,104.7839,61,104.664819,58,162.5753157,6391.8179,6070.5595,44
-129653,Octopus Racing Team,365305,Davo Ramos,3987,105.8989,68,104.7324645,62,162.47031,7201.1252,6493.4128,49
-257830,SR TECHNIC,491790,Sérgio Vieira,3196,106.6553,73,104.7898631,65,162.3813171,7785.8369,6811.3411,53
-159911,Austrian Simracers Blue,341206,Kevin Ketzerau,2591,105.9368,72,104.9291294,68,162.1657978,7627.4496,7135.1808,53
-96989,Chicane Online Racing Red,317748,Jamie M Pounder,3644,112.701,69,104.95464,60,162.1263813,7776.369,6297.2784,50
-299312,CM x MSi Gaming GT3,732337,Davide De Marco2,2429,109.036,41,104.9721595,37,162.099323,4470.476,3883.9699,30
-110547,Carbono eSports,528824,Kiko Lacalle,4204,106.7233,55,104.9763596,47,162.0928374,5869.7815,4933.8889,40
-299092,YS Sim-Sport PEC,564555,Mauro Dragoni,2632,106.121,50,104.9858756,45,162.0781452,5306.05,4724.3644,36
-257830,SR TECHNIC,613054,Luis Marinho,3605,105.969,62,105.0004017,58,162.0557227,6570.078,6090.0233,45
-129653,Octopus Racing Team,649681,Joselu Otero,3482,105.0966,68,105.0020578,64,162.0531667,7146.5688,6720.1317,49
-232258,SIMVISION #228,387273,Ricardo Luis Pereira,4151,106.6976,34,105.0224938,32,162.0216334,3627.7184,3360.7198,25
-140651,Chicane Online Racing Orange,606006,Jomi Scott,2964,106.5108,69,105.0538614,57,161.9732559,7349.2452,5988.0701,50
